full_name,html_url,stargazers_count,forks_count,collaborators,open_issues_count,description,archived,created_at,updated_at,pushed_at
prometheus/prometheus,https://github.com/prometheus/prometheus,51709,8765,,949,The Prometheus monitoring system and time series database.,False,2012-11-24 11:14:12,2024-02-13 04:13:40,2024-02-12 19:49:06
nektos/act,https://github.com/nektos/act,47705,1231,,210,Run your GitHub Actions locally ðŸš€,False,2019-01-02 19:53:43,2024-02-13 04:15:18,2024-02-12 14:00:57
traefik/traefik,https://github.com/traefik/traefik,46684,4864,,672,The Cloud Native Application Proxy,False,2015-09-13 19:04:02,2024-02-13 01:16:43,2024-02-12 15:28:23
etcd-io/etcd,https://github.com/etcd-io/etcd,45711,9689,,289,Distributed reliable key-value store for the most critical data of a distributed system,False,2013-07-06 21:57:21,2024-02-13 02:34:17,2024-02-12 21:20:29
ethereum/go-ethereum,https://github.com/ethereum/go-ethereum,44778,20017,,337,Official Go implementation of the Ethereum protocol,False,2013-12-26 13:05:46,2024-02-13 03:19:21,2024-02-12 20:43:16
FiloSottile/mkcert,https://github.com/FiloSottile/mkcert,44633,2404,,134,A simple zero-config tool to make locally trusted development certificates with any names you'd like.,False,2018-06-25 05:33:03,2024-02-13 03:27:11,2024-02-09 12:20:41
v2ray/v2ray-core,https://github.com/v2ray/v2ray-core,44389,9088,,25,A platform for building proxies to bypass network restrictions.,False,2015-09-04 11:42:53,2024-02-13 04:11:17,2024-02-12 03:56:18
gogs/gogs,https://github.com/gogs/gogs,43770,4929,,908,Gogs is a painless self-hosted Git service,False,2014-02-12 01:57:08,2024-02-12 23:35:06,2024-02-02 23:05:39
minio/minio,https://github.com/minio/minio,43015,5144,,50,The Object Store for AI Data Infrastructure,False,2015-01-14 19:23:58,2024-02-13 03:07:36,2024-02-13 03:16:13
jesseduffield/lazygit,https://github.com/jesseduffield/lazygit,42786,1645,,605,simple terminal UI for git commands,False,2018-05-19 00:53:06,2024-02-13 01:39:10,2024-02-12 13:18:58
astaxie/build-web-application-with-golang,https://github.com/astaxie/build-web-application-with-golang,42689,10837,,128,A golang ebook intro how to build a web with golang,False,2012-08-02 11:49:35,2024-02-13 00:46:26,2024-01-12 19:57:29
rclone/rclone,https://github.com/rclone/rclone,42681,3971,,993,"""rsync for cloud storage"" - Google Drive, S3, Dropbox, Backblaze B2, One Drive, Swift, Hubic, Wasabi, Google Cloud Storage, Yandex Files",False,2014-03-16 16:19:57,2024-02-13 02:21:59,2024-02-12 20:58:45
wagoodman/dive,https://github.com/wagoodman/dive,42513,1645,,158,A tool for exploring each layer in a docker image,False,2018-05-13 15:44:01,2024-02-13 04:00:38,2024-02-10 11:55:36
go-gitea/gitea,https://github.com/go-gitea/gitea,40604,5149,,2629,"Git with a cup of tea! Painless self-hosted all-in-one software development service, including Git hosting, code review, team collaboration, package registry and CI/CD",False,2016-11-01 02:13:26,2024-02-13 03:15:34,2024-02-13 03:32:37
hashicorp/terraform,https://github.com/hashicorp/terraform,40334,9388,,1936,"Terraform enables you to safely and predictably create, change, and improve infrastructure. It is a source-available tool that codifies APIs into declarative configuration files that can be shared amongst team members, treated as code, edited, reviewed, and versioned.",False,2014-03-13 22:25:48,2024-02-13 03:07:06,2024-02-12 20:13:12
ollama/ollama,https://github.com/ollama/ollama,36857,2440,,624,"Get up and running with Llama 2, Mistral, and other large language models locally.",False,2023-06-26 19:39:32,2024-02-13 03:48:22,2024-02-13 01:42:00
